"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 05 10:51:04 GMT 2025","Mon May 05 10:51:12 GMT 2025","8497","","tests.uiTests.UiTests","","tests.uiTests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Mon May 05 10:50:50 GMT 2025","Mon May 05 10:50:53 GMT 2025","2207","","tests.uiTests.UiPomTests","","tests.uiTests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Mon May 05 10:50:47 GMT 2025","Mon May 05 10:50:49 GMT 2025","2164","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Mon May 05 10:50:50 GMT 2025","Mon May 05 10:50:50 GMT 2025","129","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createInvalidUserControllerTest","createInvalidUserControllerTest()",""
"passed","Mon May 05 10:50:50 GMT 2025","Mon May 05 10:50:50 GMT 2025","114","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUser","createUser()",""
"passed","Mon May 05 10:51:02 GMT 2025","Mon May 05 10:51:04 GMT 2025","1507","","tests.uiTests.UiTests","","tests.uiTests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Mon May 05 10:50:49 GMT 2025","Mon May 05 10:50:49 GMT 2025","144","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)",""
"passed","Mon May 05 10:50:49 GMT 2025","Mon May 05 10:50:50 GMT 2025","912","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Mon May 05 10:50:50 GMT 2025","Mon May 05 10:50:50 GMT 2025","122","","tests.apiTests.PetUserTests","","tests.apiTests.PetUserTests","createUserControllerTest","createUserControllerTest()",""
"passed","Mon May 05 10:50:53 GMT 2025","Mon May 05 10:51:02 GMT 2025","9607","","tests.uiTests.UiTests","","tests.uiTests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
